Rings,J1 (MPa.mm),J2 (MPa.mm),KI (MPa.mm^0.5),KII (MPa.mm^0.5)
1,2.66063073203526,-1.68637154130161,25.7021313908092,9.18569795603213
2,2.65113770484847,-1.64994164597355,25.7231311257953,8.97992663904968
3,2.65771610504774,-1.64113889462988,25.7827042066579,8.9113788610604
4,2.65873318592344,-1.63205139793531,25.8082341514805,8.85326730879168
