Rings,J1 (MPa.mm),J2 (MPa.mm),KI (MPa.mm^0.5),KII (MPa.mm^0.5)
1,1.55173108674701,-0.902501209923467,22.7093959558876,7.28327908487377
2,1.52803093398899,-0.872781149300864,22.5809653352802,7.08349505719546
3,1.53055221603688,-0.868540388491164,22.6155329604735,7.03830258005722
4,1.53066765126682,-0.865273760338734,22.6256619898812,7.00869208888528
