Rings,J (MPa.mm),KI (MPa.mm^0.5),KII (MPa.mm^0.5)
0,1.56061,24.637,8.13811
1,1.56212,24.6693,8.10807
2,1.56158,24.6622,8.08371
3,1.56072,24.6526,8.06028
4,1.55887,24.622,8.02933
